Feature,Importance
Feature 1810,0.023429079063195492
Feature 1452,0.02204797728795691
Feature 491,0.021929314778548915
Feature 708,0.021162455164722198
Feature 489,0.01593509051884705
Feature 1367,0.013603573597474812
Feature 1645,0.012431034548866182
Feature 329,0.010299991356929526
Feature 1157,0.008823572199299494
Feature 1366,0.008675456331967727
Feature 1152,0.00855831060660721
Feature 378,0.00844608936215679
Feature 1226,0.00797667086614568
Feature 1181,0.007939675763247245
Feature 794,0.0072621922522972835
Feature 1970,0.006439972152246099
Feature 579,0.006349288559295012
Feature 1581,0.006230461861495592
Feature 191,0.0059831739037345165
Feature 1357,0.005762502734571782
Feature 875,0.005267521793802759
Feature 1097,0.00522019882748135
Feature 959,0.005211292107310678
Feature 161,0.005067083562605052
Feature 1582,0.00504726580291927
Feature 694,0.004803270579294802
Feature 888,0.004733755805126841
Feature 673,0.004670284595798842
Feature 1480,0.004429192141367947
Feature 780,0.004050401349760266
Feature 703,0.003784554844820757
Feature 935,0.003587603663184075
Feature 1855,0.0035376243751350615
Feature 1384,0.0034096876071206565
Feature 1535,0.003353824379850693
Feature 555,0.0032792636999176617
Feature 1602,0.0031091830374901917
Feature 1912,0.0029934280063239906
Feature 896,0.002914192314897522
Feature 695,0.0028865052601273174
Feature 652,0.002845100490498031
Feature 926,0.0028306160158073535
Feature 335,0.002811070986182767
Feature 1077,0.0027919875764877227
Feature 1722,0.0027572098041518524
Feature 80,0.0027514552989601946
Feature 561,0.0027314117772788056
Feature 881,0.0027139729140083432
Feature 1928,0.002672263642855352
Feature 407,0.002647491424439899
Feature 1816,0.0026067131786207958
Feature 1019,0.0025877930130330734
Feature 420,0.002547806027472781
Feature 841,0.002421525318696217
Feature 249,0.002412360101189829
Feature 747,0.0023888281907645035
Feature 1039,0.002383005428392156
Feature 1917,0.002370522785835044
Feature 1866,0.0023671662341470095
Feature 843,0.0023510124565966424
Feature 1088,0.0022759058011787947
Feature 1405,0.0022643000951916687
Feature 1224,0.0022530393175467615
Feature 94,0.0022209371577188945
Feature 1058,0.002215624701095881
Feature 1617,0.0021909152267357594
Feature 1443,0.0021893368683691223
Feature 1114,0.002147407274819719
Feature 687,0.0021212931130839196
Feature 699,0.00211814033712462
Feature 2033,0.002089085565245369
