molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,41.0,nM
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,300.0,nM
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,7820.0,nM
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,170.0,nM
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,440.0,nM
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,IC50,9300.0,nM
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,IC50,500000.0,nM
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,Ki,,nM
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,IC50,3000000.0,nM
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,Ki,1000000.0,nM
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],IC50,96000.0,nM
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],Ki,24000.0,nM
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5310.0,nM
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,IC50,264000.0,nM
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,Ki,700000.0,nM
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,IC50,125.0,nM
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,Ki,,nM
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,IC50,1250000.0,nM
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,Ki,400000.0,nM
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,IC50,625000.0,nM
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,Ki,250000.0,nM
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,IC50,35000.0,nM
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,Ki,11000.0,nM
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,IC50,900000.0,nM
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,Ki,,nM
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,0.45,nM
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,IC50,10000.0,nM
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,Ki,3500.0,nM
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,IC50,60000.0,nM
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,IC50,600000.0,nM
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,Ki,,nM
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,IC50,850000.0,nM
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,Ki,300000.0,nM
